data	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	
D00336	0.72619	0.75	0.76786	0.72316	0.80952	0.76786	0.74138	0.77976	0.78571	0.75	0.76786	0.75595	0.79762	0.79167	0.78571	0.76786	0.79762	0.77976	0.77381	0.76786	0.95833	1.0	0.77381	0.79167	0.80357	0.77976	0.75362	0.76786	0.76786	0.74405	0.7619	0.76786	0.82738	0.77976	0.75595	0.74405	0.77976	0.78571	0.80328	0.77976	0.77381	0.75595	0.76786	0.77381	0.7619	0.7619	0.79762	0.7619	0.76786	0.7619	0.78571	0.78947	0.7381	0.76786	0.77381	0.76786	0.7619	0.74444	0.74405	0.75595	
D00338	0.73171	0.78667	0.81818	0.72316	0.77236	0.76423	0.75862	0.76423	0.75333	0.84553	0.82667	0.79675	0.80488	0.82927	0.74603	0.75177	0.81301	0.93651	0.76423	0.7561	0.77987	0.77381	1.0	0.78862	0.74242	0.7483	0.78261	0.73984	0.77236	0.80303	0.78049	0.7561	0.73984	0.78862	0.73984	0.8374	0.73171	0.75	0.75956	0.78862	0.79675	0.78049	0.82927	0.79675	0.77236	0.7561	0.78049	0.79675	0.80488	0.76423	0.78049	0.81287	0.74797	0.76423	0.74797	0.86179	0.82114	0.73333	0.76423	0.76423	
D00340	0.73529	0.76667	0.7803	0.70621	0.79167	0.72973	0.77011	0.7451	0.74	0.79412	0.76667	0.74775	0.76471	0.78431	0.74603	0.76596	0.7549	0.77778	0.86325	0.76471	0.79874	0.79167	0.78862	1.0	0.75758	0.77551	0.76812	0.76471	0.78431	0.76515	0.7451	0.74286	0.73148	0.7549	0.7549	0.7549	0.73529	0.78205	0.78142	0.81982	0.7451	0.73529	0.78431	0.7549	0.72549	0.7451	0.76471	0.80392	0.7549	0.7549	0.87619	0.76608	0.71569	0.7549	0.775	0.81373	0.79412	0.73333	0.82353	0.7451	
D00345	0.72727	0.72	0.76515	0.71751	0.76515	0.76515	0.77011	0.75758	0.76667	0.77273	0.82667	0.7803	0.79545	0.81818	0.78788	0.80142	0.76515	0.75	0.74242	0.72727	0.80503	0.80357	0.74242	0.75758	1.0	0.7619	0.75845	0.77273	0.77273	0.77273	0.78788	0.75	0.7803	0.80303	0.75758	0.75758	0.72727	0.76923	0.77596	0.75	0.77273	0.82576	0.79545	0.80303	0.78788	0.77273	0.78788	0.77273	0.77273	0.75758	0.78788	0.77778	0.75758	0.7803	0.75758	0.79545	0.76515	0.74444	0.73485	0.75758	
D00349	0.72789	0.75333	0.7551	0.73446	0.76871	0.7551	0.75862	0.72109	0.75333	0.78231	0.74667	0.7551	0.7483	0.7619	0.82993	0.91156	0.7551	0.7483	0.76871	0.7551	0.77358	0.77976	0.7483	0.77551	0.7619	1.0	0.77295	0.7483	0.76871	0.79592	0.76871	0.72109	0.72789	0.7619	0.77551	0.79592	0.72789	0.89744	0.86339	0.78231	0.76871	0.7415	0.78912	0.76871	0.78912	0.76871	0.78231	0.78912	0.77551	0.78231	0.7619	0.74854	0.7483	0.7483	0.76871	0.77551	0.80272	0.73333	0.76871	0.7619	
D00351	0.73913	0.7971	0.78744	0.75362	0.76329	0.76812	0.75362	0.75362	0.80676	0.77295	0.7971	0.78744	0.75362	0.74879	0.77778	0.77295	0.77295	0.78261	0.78744	0.72947	0.74396	0.75362	0.78261	0.76812	0.75845	0.77295	1.0	0.74879	0.75845	0.78261	0.78744	0.74879	0.72947	0.77295	0.72947	0.77295	0.72464	0.76329	0.73913	0.77778	0.75845	0.77295	0.74879	0.77778	0.76329	0.73913	0.75362	0.74879	0.75845	0.76329	0.75362	0.80193	0.72947	0.74396	0.76329	0.78261	0.77295	0.76329	0.74396	0.72464	
D00354	0.71264	0.72	0.7803	0.71751	0.75	0.8018	0.77586	0.73529	0.76	0.73563	0.77333	0.75676	0.75758	0.74713	0.77778	0.78723	0.7549	0.74603	0.79487	0.73563	0.78616	0.76786	0.73984	0.76471	0.77273	0.7483	0.74879	1.0	0.74713	0.76515	0.78431	0.73333	0.75926	0.76344	0.74713	0.75	0.78161	0.74359	0.74317	0.74775	0.77778	0.77778	0.75862	0.74713	0.74747	0.73563	0.70115	0.7931	0.78788	0.74713	0.7619	0.76608	0.70115	0.78161	0.775	0.73118	0.77011	0.71667	0.78161	0.71264	
D00358	0.75641	0.76667	0.81818	0.73446	0.75	0.78378	0.74713	0.72549	0.78	0.77381	0.79333	0.8018	0.78788	0.75	0.8254	0.78723	0.77451	0.8254	0.78632	0.78205	0.76101	0.76786	0.77236	0.78431	0.77273	0.76871	0.75845	0.74713	1.0	0.80303	0.79412	0.72381	0.75	0.8172	0.78205	0.82292	0.70115	0.76282	0.7541	0.78378	0.80808	0.78788	0.83333	0.7931	0.77778	0.83333	0.7931	0.87179	0.80808	0.82759	0.75238	0.77778	0.70513	0.77381	0.80833	0.78495	0.81481	0.75	0.82051	0.82051	
D00364	0.72727	0.76667	0.81061	0.72881	0.75	0.78788	0.74713	0.74242	0.79333	0.84848	0.76	0.86364	0.76515	0.78788	0.80303	0.83688	0.79545	0.81818	0.7803	0.75758	0.74214	0.74405	0.80303	0.76515	0.77273	0.79592	0.78261	0.76515	0.80303	1.0	0.78788	0.75	0.73485	0.80303	0.77273	0.86364	0.71212	0.76923	0.77049	0.78788	0.78788	0.7803	0.80303	0.78788	0.78788	0.75758	0.77273	0.79545	0.82576	0.82576	0.7803	0.79532	0.74242	0.75758	0.78788	0.82576	0.80303	0.73889	0.79545	0.75	
D00367	0.73529	0.74667	0.87879	0.72881	0.73333	0.84685	0.75287	0.7451	0.83333	0.81373	0.81333	0.8018	0.77451	0.77451	0.81746	0.78014	0.7549	0.79365	0.76923	0.73529	0.7673	0.7619	0.78049	0.7451	0.78788	0.76871	0.78744	0.78431	0.79412	0.78788	1.0	0.74286	0.7037	0.82353	0.72549	0.82353	0.71569	0.75641	0.74863	0.77477	0.77451	0.85294	0.79412	0.81373	0.78431	0.73529	0.71569	0.78431	0.84314	0.78431	0.75238	0.77193	0.72549	0.7451	0.80833	0.79412	0.78431	0.72778	0.76471	0.73529	
D00373	0.71429	0.74	0.75	0.73446	0.75833	0.78378	0.73563	0.92381	0.79333	0.7619	0.77333	0.72973	0.78095	0.75238	0.71429	0.7234	0.75238	0.7619	0.73504	0.73333	0.7673	0.76786	0.7561	0.74286	0.75	0.72109	0.74879	0.73333	0.72381	0.75	0.74286	1.0	0.75926	0.73333	0.73333	0.73333	0.75238	0.73077	0.73224	0.79279	0.74286	0.74286	0.74286	0.72381	0.75238	0.73333	0.70476	0.72381	0.70476	0.71429	0.72381	0.77778	0.73333	0.7619	0.73333	0.7619	0.71429	0.73333	0.71429	0.73333	
D00379	0.75926	0.72	0.74242	0.72881	0.925	0.71171	0.74138	0.77778	0.74	0.7037	0.76667	0.73874	0.78704	0.78704	0.75397	0.7305	0.74074	0.74603	0.75214	0.7963	0.83648	0.82738	0.73984	0.73148	0.7803	0.72789	0.72947	0.75926	0.75	0.73485	0.7037	0.75926	1.0	0.78704	0.77778	0.69444	0.82407	0.73077	0.75956	0.72973	0.75	0.73148	0.78704	0.75	0.71296	0.78704	0.80556	0.77778	0.75	0.72222	0.71296	0.74854	0.73148	0.80556	0.70833	0.72222	0.75	0.75556	0.75926	0.76852	
D00380	0.75269	0.78	0.84091	0.72881	0.78333	0.76577	0.77011	0.7451	0.78	0.75269	0.81333	0.78378	0.79798	0.76344	0.79365	0.78723	0.79412	0.80159	0.81197	0.78495	0.77987	0.77976	0.78862	0.7549	0.80303	0.7619	0.77295	0.76344	0.8172	0.80303	0.82353	0.73333	0.78704	1.0	0.78495	0.77083	0.72043	0.75641	0.77049	0.78378	0.76768	0.74747	0.88172	0.87097	0.74747	0.7957	0.78495	0.80645	0.82828	0.78495	0.73333	0.78947	0.74194	0.76344	0.8	0.77419	0.8172	0.76667	0.80645	0.77419	
D00392	0.78333	0.74667	0.75	0.71186	0.76667	0.73874	0.75287	0.7451	0.72667	0.71429	0.75333	0.74775	0.76768	0.7619	0.7381	0.78723	0.76471	0.75397	0.76068	0.76667	0.76101	0.75595	0.73984	0.7549	0.75758	0.77551	0.72947	0.74713	0.78205	0.77273	0.72549	0.73333	0.77778	0.78495	1.0	0.71875	0.73563	0.76923	0.75956	0.78378	0.74747	0.77778	0.80769	0.75862	0.71717	0.87302	0.81609	0.74603	0.77778	0.72414	0.7619	0.73684	0.78205	0.79762	0.75	0.72043	0.77778	0.76111	0.72222	0.81667	
D00394	0.73958	0.77333	0.84091	0.72316	0.70833	0.79279	0.75287	0.73529	0.81333	0.90625	0.81333	0.87387	0.76768	0.73958	0.83333	0.78014	0.78431	0.85714	0.77778	0.75	0.74214	0.74405	0.8374	0.7549	0.75758	0.79592	0.77295	0.75	0.82292	0.86364	0.82353	0.73333	0.69444	0.77083	0.71875	1.0	0.70833	0.77564	0.75956	0.78378	0.78788	0.78788	0.80208	0.80208	0.84848	0.75	0.75	0.79167	0.83838	0.85417	0.74286	0.80117	0.71875	0.75	0.825	0.875	0.78125	0.72778	0.80208	0.76042	
D00418	0.77011	0.72	0.72727	0.74011	0.80833	0.72072	0.74138	0.7549	0.73333	0.68966	0.73333	0.71171	0.74747	0.72414	0.7381	0.7305	0.73529	0.73016	0.73504	0.8046	0.78616	0.77976	0.73171	0.73529	0.72727	0.72789	0.72464	0.78161	0.70115	0.71212	0.71569	0.75238	0.82407	0.72043	0.73563	0.70833	1.0	0.75	0.75956	0.73874	0.73737	0.71717	0.74713	0.68966	0.71717	0.74713	0.70115	0.73563	0.74747	0.70115	0.71429	0.74269	0.71264	0.73563	0.71667	0.70968	0.72414	0.72778	0.70115	0.73563	
D00437	0.72436	0.75	0.75	0.71186	0.76923	0.75	0.73563	0.73718	0.74359	0.76923	0.74359	0.74359	0.74359	0.76923	0.8141	0.89744	0.75641	0.75	0.75641	0.75	0.77358	0.78571	0.75	0.78205	0.76923	0.89744	0.76329	0.74359	0.76282	0.76923	0.75641	0.73077	0.73077	0.75641	0.76923	0.77564	0.75	1.0	0.91803	0.77564	0.76282	0.74359	0.78205	0.76282	0.77564	0.76923	0.78205	0.78205	0.76923	0.77564	0.77564	0.73684	0.75	0.74359	0.76282	0.76923	0.79487	0.73333	0.75641	0.76282	
D00438	0.69945	0.73224	0.74863	0.72131	0.77049	0.74863	0.74317	0.73224	0.74863	0.7541	0.75956	0.74863	0.74863	0.7541	0.80328	0.86885	0.75956	0.77049	0.75956	0.74863	0.80328	0.80328	0.75956	0.78142	0.77596	0.86339	0.73913	0.74317	0.7541	0.77049	0.74863	0.73224	0.75956	0.77049	0.75956	0.75956	0.75956	0.91803	1.0	0.76503	0.75956	0.7377	0.77049	0.76503	0.76503	0.74863	0.78689	0.76503	0.77049	0.75956	0.76503	0.7377	0.74317	0.74317	0.77596	0.75956	0.77596	0.72678	0.74317	0.74317	
D00451	0.76577	0.77333	0.7803	0.72316	0.75833	0.74775	0.77586	0.8018	0.76	0.78378	0.76667	0.75676	0.75676	0.75676	0.76984	0.77305	0.77477	0.77778	0.80342	0.74775	0.78616	0.77976	0.78862	0.81982	0.75	0.78231	0.77778	0.74775	0.78378	0.78788	0.77477	0.79279	0.72973	0.78378	0.78378	0.78378	0.73874	0.77564	0.76503	1.0	0.72973	0.77477	0.75676	0.77477	0.76577	0.75676	0.72973	0.8018	0.77477	0.8018	0.8018	0.76608	0.72072	0.75676	0.76667	0.78378	0.75676	0.73889	0.81982	0.72072	
D00456	0.71717	0.80667	0.77273	0.73446	0.74167	0.81081	0.76437	0.73529	0.78667	0.79798	0.79333	0.81081	0.83838	0.76768	0.78571	0.78014	0.77451	0.80952	0.76068	0.75758	0.79245	0.77381	0.79675	0.7451	0.77273	0.76871	0.75845	0.77778	0.80808	0.78788	0.77451	0.74286	0.75	0.76768	0.74747	0.78788	0.73737	0.76282	0.75956	0.72973	1.0	0.74747	0.82828	0.80808	0.76768	0.76768	0.74747	0.78788	0.77778	0.75758	0.72381	0.78363	0.70707	0.78788	0.78333	0.80808	0.81818	0.72778	0.77778	0.76768	
D00464	0.72727	0.73333	0.81061	0.72316	0.775	0.86486	0.77586	0.7451	0.78667	0.80808	0.80667	0.79279	0.75758	0.80808	0.76984	0.77305	0.78431	0.78571	0.77778	0.73737	0.76101	0.75595	0.78049	0.73529	0.82576	0.7415	0.77295	0.77778	0.78788	0.7803	0.85294	0.74286	0.73148	0.74747	0.77778	0.78788	0.71717	0.74359	0.7377	0.77477	0.74747	1.0	0.75758	0.75758	0.80808	0.76768	0.75758	0.75758	0.78788	0.76768	0.79048	0.76023	0.73737	0.75758	0.79167	0.79798	0.74747	0.72222	0.76768	0.76768	
D00474	0.76923	0.79333	0.79545	0.72316	0.79167	0.76577	0.77011	0.7451	0.76	0.77381	0.80667	0.79279	0.84848	0.7381	0.80159	0.79433	0.81373	0.83333	0.79487	0.80769	0.7673	0.76786	0.82927	0.78431	0.79545	0.78912	0.74879	0.75862	0.83333	0.80303	0.79412	0.74286	0.78704	0.88172	0.80769	0.80208	0.74713	0.78205	0.77049	0.75676	0.82828	0.75758	1.0	0.87356	0.76768	0.82051	0.7931	0.88462	0.83838	0.8046	0.73333	0.79532	0.69231	0.7619	0.8	0.80645	0.83951	0.73889	0.82051	0.82051	
D00477	0.74713	0.78667	0.81061	0.72881	0.74167	0.77477	0.75287	0.73529	0.78667	0.73563	0.84	0.82883	0.81818	0.73563	0.81746	0.78723	0.79412	0.80952	0.79487	0.77011	0.75472	0.77381	0.79675	0.7549	0.80303	0.76871	0.77778	0.74713	0.7931	0.78788	0.81373	0.72381	0.75	0.87097	0.75862	0.80208	0.68966	0.76282	0.76503	0.77477	0.80808	0.75758	0.87356	1.0	0.77778	0.8046	0.8046	0.85057	0.78788	0.78161	0.71429	0.79532	0.74713	0.77011	0.775	0.77419	0.82759	0.74444	0.77011	0.81609	
