data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341	
D00182	0.81154	0.84531	0.79219	0.94062	0.95811	0.58906	0.82969	0.79359	0.82537	0.84483	1.0	0.77875	0.73913	0.8828	0.89333	0.50937	0.79286	0.71159	0.57031	0.88169	0.58906	0.80119	0.8375	0.51719	0.87812	0.525	0.50937	0.80933	0.49687	0.52656	0.46719	0.90099	0.49844	0.51406	0.81059	0.98462	0.86747	0.98462	0.976	0.50781	0.57703	0.52812	0.80978	0.51094	0.80879	0.85606	0.8037	0.859	0.55616	0.86977	0.50781	0.94154	0.87143	0.55312	
D00187	0.775	0.70625	0.6025	0.66625	0.71	0.6125	0.62375	0.865	0.7275	0.75862	0.67875	1.0	0.9175	0.84395	0.75556	0.505	0.97857	0.62625	0.60625	0.69875	0.62125	0.74524	0.7	0.49375	0.645	0.54375	0.5225	0.6825	0.52125	0.53625	0.48875	0.77822	0.47	0.52625	0.88941	0.69	0.72048	0.69	0.6825	0.50375	0.54125	0.52875	0.77391	0.515	0.72637	0.71125	0.75679	0.812	0.51	0.74884	0.50375	0.7075	0.645	0.54	
D00188	0.85385	0.71449	0.62174	0.68841	0.7473	0.62609	0.64638	0.93462	0.73913	0.79425	0.7029	0.98625	1.0	0.8414	0.80556	0.51159	0.96548	0.64203	0.6087	0.74085	0.63623	0.77381	0.73478	0.49855	0.67101	0.54638	0.51159	0.72133	0.53043	0.53768	0.49275	0.78812	0.48116	0.5058	0.92353	0.71159	0.78072	0.71159	0.73067	0.5	0.58378	0.52899	0.79239	0.52319	0.77582	0.72029	0.8037	0.843	0.54384	0.79302	0.5	0.72174	0.65857	0.56232	
D00211	0.61783	0.57707	0.53312	0.5758	0.60255	0.54395	0.55287	0.60446	0.59682	0.64777	0.58662	0.59873	0.56115	1.0	0.64586	0.4758	0.61401	0.55159	0.52739	0.60892	0.54395	0.64522	0.59172	0.4879	0.55924	0.50446	0.50255	0.57962	0.50637	0.51274	0.49427	0.67898	0.47134	0.5	0.63121	0.58599	0.62803	0.58599	0.61083	0.50637	0.5465	0.51911	0.66242	0.49873	0.60955	0.58408	0.61911	0.63057	0.50955	0.6172	0.50637	0.58153	0.5828	0.34013	
D00246	0.71778	0.73444	0.61889	0.72444	0.79222	0.56556	0.63778	0.68667	0.71444	0.74667	0.75111	0.7	0.68889	0.85924	1.0	0.50778	0.71111	0.63222	0.56	0.75667	0.56556	0.74222	0.71111	0.50222	0.66444	0.54333	0.49333	0.72111	0.52333	0.53667	0.48667	0.87327	0.47778	0.49667	0.68889	0.76222	0.73556	0.76222	0.75444	0.52333	0.53333	0.53	0.74674	0.50111	0.66813	0.73889	0.71444	0.808	0.50556	0.83333	0.48444	0.73111	0.67444	0.44667	
D00279	0.81026	0.8	0.774	0.77167	0.82432	0.75106	0.78333	0.82821	0.79552	0.83563	0.79063	0.83	0.8087	0.88662	0.84111	1.0	0.83333	0.79565	0.92692	0.83099	0.75106	0.85833	0.8	0.80667	0.79138	0.9413	0.84	0.872	0.76977	0.87368	0.84355	0.89307	0.75	0.82821	0.85059	0.79231	0.84096	0.79231	0.86267	0.9	0.91622	0.83137	0.86196	0.86585	0.88462	0.80455	0.83457	0.865	0.88082	0.86744	0.8386	0.79231	0.83	0.525	
D00299	0.79881	0.71667	0.59286	0.6869	0.69524	0.60238	0.62143	0.85119	0.7369	0.75517	0.67381	0.95476	0.87619	0.8465	0.74444	0.5	1.0	0.61548	0.59643	0.70952	0.60238	0.75	0.71071	0.48929	0.63333	0.5369	0.51667	0.68571	0.50714	0.52976	0.48452	0.75446	0.46667	0.52024	0.88588	0.68452	0.6869	0.68452	0.66905	0.49881	0.53452	0.51429	0.77826	0.50952	0.7	0.72143	0.74524	0.809	0.50476	0.73721	0.49881	0.70119	0.65238	0.53333	
D00312	0.71667	0.68116	0.8	0.72464	0.73514	0.52174	0.78406	0.66282	0.68551	0.74368	0.71884	0.695	0.64203	0.83121	0.74889	0.49855	0.70476	1.0	0.52464	0.66761	0.52174	0.7381	0.67101	0.54638	0.77826	0.54348	0.52899	0.69067	0.51739	0.55797	0.54058	0.75842	0.49855	0.52319	0.69882	0.74928	0.73614	0.74928	0.736	0.51739	0.55541	0.51594	0.73696	0.51014	0.71209	0.68696	0.75802	0.764	0.56027	0.74186	0.52754	0.72899	0.81429	0.5087	
D00316	0.73333	0.67619	0.55962	0.625	0.73378	0.67308	0.56852	0.76026	0.68955	0.75057	0.66406	0.78125	0.73188	0.86178	0.77111	0.69615	0.7869	0.64783	1.0	0.7169	0.68654	0.7619	0.66032	0.625	0.60345	0.69808	0.65577	0.77333	0.57308	0.7193	0.64516	0.81287	0.60192	0.675	0.77176	0.66769	0.75181	0.66769	0.736	0.69649	0.77973	0.59808	0.77391	0.65769	0.77253	0.69697	0.73457	0.812	0.7411	0.78953	0.61053	0.68923	0.68429	0.58846	
D00327	0.82051	0.85352	0.68451	0.81831	0.83514	0.58028	0.70845	0.76667	0.82817	0.86092	0.83239	0.74375	0.72676	0.8828	0.86222	0.52817	0.77619	0.64225	0.5831	1.0	0.58028	0.82619	0.87324	0.51549	0.73239	0.55211	0.49859	0.80933	0.53662	0.54366	0.48028	0.92871	0.48873	0.50282	0.79412	0.81831	0.84217	0.81831	0.84533	0.53662	0.56757	0.54507	0.825	0.51972	0.76264	0.85915	0.80617	0.929	0.53699	0.91744	0.50704	0.77887	0.75493	0.55775	
D00348	0.77179	0.71905	0.588	0.69833	0.77432	0.98511	0.59815	0.82564	0.7194	0.77701	0.72188	0.8275	0.79565	0.89427	0.80444	0.54894	0.82262	0.68116	0.73462	0.7493	1.0	0.81429	0.69683	0.52979	0.65517	0.58511	0.57872	0.76667	0.59149	0.68421	0.6371	0.82871	0.50426	0.6	0.84824	0.72462	0.80482	0.72462	0.75733	0.6386	0.7527	0.63529	0.82174	0.58085	0.7978	0.72727	0.79383	0.835	0.6863	0.81628	0.61404	0.73538	0.71714	0.59149	
D00443	0.74881	0.725	0.63571	0.67381	0.70714	0.59405	0.63929	0.71071	0.75357	0.75862	0.68214	0.72143	0.68452	0.87771	0.77556	0.525	0.75	0.64881	0.57143	0.74881	0.59405	1.0	0.72024	0.50595	0.65119	0.54524	0.49167	0.66905	0.52381	0.5631	0.49286	0.79901	0.475	0.4869	0.72706	0.68929	0.72976	0.68929	0.69405	0.51548	0.55952	0.52262	0.93804	0.53452	0.7033	0.7381	0.80357	0.788	0.54643	0.76744	0.50714	0.71429	0.64524	0.53333	
D00462	0.89103	0.9	0.72063	0.84921	0.87162	0.56984	0.74762	0.79231	0.9	0.94828	0.84531	0.795	0.77826	0.89108	0.86111	0.52222	0.825	0.72174	0.57302	0.92958	0.56984	0.83929	1.0	0.50794	0.75238	0.51587	0.47778	0.836	0.50952	0.52857	0.47937	0.88614	0.5	0.47143	0.82588	0.83231	0.86627	0.83231	0.85333	0.49841	0.60405	0.51905	0.83478	0.52381	0.79231	0.9	0.85679	0.9	0.57397	0.9	0.53175	0.78923	0.79	0.54444	
D00506	0.78974	0.76984	0.736	0.76333	0.81757	0.71064	0.74815	0.82179	0.76716	0.82184	0.78281	0.80625	0.78116	0.89236	0.83222	0.77333	0.81071	0.82899	0.83654	0.80423	0.71064	0.82738	0.76984	1.0	0.75862	0.87391	0.78571	0.87467	0.7814	0.88772	0.86935	0.88119	0.75	0.81538	0.82824	0.79538	0.84337	0.79538	0.884	0.87895	0.89054	0.89608	0.8413	0.76829	0.87143	0.77576	0.81605	0.846	0.86438	0.83488	0.81754	0.79538	0.83286	0.56333	
D00554	0.77692	0.77778	0.90517	0.86833	0.9027	0.56034	0.94655	0.7859	0.78507	0.82184	0.925	0.78	0.75072	0.87452	0.84	0.53276	0.78571	0.81449	0.55172	0.82394	0.56034	0.8	0.79206	0.51724	1.0	0.56207	0.58103	0.78267	0.5431	0.52759	0.57581	0.8604	0.53276	0.57414	0.80353	0.91077	0.84337	0.91077	0.912	0.53103	0.60676	0.55345	0.82174	0.54655	0.83297	0.79394	0.82222	0.818	0.64384	0.82209	0.53103	0.87846	0.93286	0.54483	
D00565	0.72564	0.65079	0.614	0.62667	0.73514	0.59574	0.63519	0.76154	0.65522	0.75977	0.66562	0.75625	0.71304	0.85796	0.78778	0.75652	0.7631	0.71014	0.76538	0.72817	0.59574	0.77143	0.65079	0.7	0.66552	1.0	0.78043	0.784	0.68696	0.79298	0.80484	0.84158	0.64348	0.75652	0.78941	0.66923	0.77831	0.66923	0.77467	0.87018	0.89324	0.74314	0.78261	0.74348	0.8044	0.67273	0.74074	0.813	0.84795	0.78256	0.77193	0.66923	0.74571	0.52174	
D00577	0.75641	0.70476	0.732	0.70167	0.77703	0.70638	0.74444	0.79231	0.72239	0.77931	0.73594	0.80375	0.75797	0.89108	0.79889	0.74	0.80833	0.77536	0.81923	0.75211	0.70638	0.78333	0.7	0.71429	0.77931	0.9	1.0	0.82533	0.72093	0.87193	0.87742	0.85149	0.7	0.94359	0.81765	0.73846	0.78193	0.73846	0.82533	0.87544	0.87838	0.77647	0.79348	0.81463	0.83846	0.7197	0.76173	0.823	0.85205	0.80233	0.85088	0.72769	0.79	0.54	
D00585	0.78077	0.792	0.644	0.73333	0.796	0.58	0.65733	0.7	0.768	0.78506	0.756	0.71375	0.68133	0.84076	0.80444	0.55867	0.73929	0.65067	0.62	0.80267	0.58	0.72262	0.776	0.57467	0.68933	0.59067	0.55867	1.0	0.548	0.58267	0.532	0.8703	0.54933	0.55333	0.74118	0.77467	0.75663	0.77467	0.79733	0.56667	0.60667	0.57467	0.75326	0.532	0.75165	0.788	0.72469	0.835	0.55467	0.86512	0.53867	0.73733	0.692	0.53067	
D00586	0.73077	0.66825	0.608	0.645	0.73108	0.63404	0.64259	0.75769	0.67164	0.77241	0.66094	0.7525	0.71884	0.86943	0.78444	0.59535	0.75119	0.7058	0.65962	0.7338	0.63404	0.76786	0.66825	0.6186	0.67241	0.71957	0.62791	0.76133	1.0	0.68947	0.72097	0.80396	0.62791	0.63488	0.76941	0.66462	0.76627	0.66462	0.70533	0.81579	0.78514	0.98431	0.77935	0.64651	0.78571	0.67879	0.7284	0.81	0.7863	0.77907	0.6807	0.66462	0.73143	0.51395	
D00596	0.64744	0.5873	0.54211	0.53667	0.67162	0.59649	0.52281	0.66538	0.60597	0.6977	0.58125	0.68	0.62464	0.83121	0.72	0.61754	0.69048	0.64493	0.65789	0.64225	0.59649	0.72381	0.57619	0.65965	0.53621	0.69649	0.67895	0.70267	0.56667	1.0	0.66935	0.78119	0.58947	0.6807	0.71765	0.58615	0.69639	0.58615	0.72133	0.66491	0.84459	0.58947	0.74674	0.6193	0.73736	0.60152	0.68272	0.759	0.78082	0.7093	0.6	0.57538	0.65857	0.54386	
D00627	0.57051	0.47619	0.53387	0.46129	0.57703	0.51613	0.51613	0.61154	0.50149	0.6092	0.48281	0.60125	0.54348	0.79682	0.64222	0.56935	0.61548	0.5913	0.56452	0.54366	0.51613	0.62381	0.4873	0.61129	0.54355	0.67581	0.65968	0.61867	0.57258	0.62097	1.0	0.70495	0.55806	0.65323	0.62706	0.5	0.61205	0.5	0.61867	0.64677	0.71622	0.58226	0.64022	0.63871	0.66813	0.49545	0.60494	0.675	0.72603	0.61395	0.70323	0.51077	0.57857	0.49032	
D00690	0.67624	0.71188	0.60693	0.70099	0.73564	0.56139	0.62376	0.66238	0.69406	0.71584	0.71782	0.67426	0.6297	0.85732	0.80396	0.53168	0.6703	0.60495	0.5703	0.7802	0.56139	0.71188	0.69802	0.5297	0.64752	0.56931	0.52475	0.74158	0.51683	0.56337	0.51188	1.0	0.48317	0.52079	0.67624	0.7099	0.76832	0.7099	0.75545	0.53762	0.58119	0.53663	0.73168	0.51881	0.6703	0.71584	0.70792	0.75149	0.54257	0.81386	0.50297	0.68218	0.66337	0.43366	
D00730	0.84615	0.83333	0.844	0.81833	0.8527	0.78085	0.84815	0.84615	0.82687	0.85977	0.83438	0.83875	0.82899	0.90446	0.86111	0.875	0.84167	0.84638	0.9	0.84085	0.78085	0.85	0.83333	0.9	0.85172	0.91522	0.9	0.90933	0.88372	0.89649	0.88871	0.87921	1.0	0.9	0.85059	0.83538	0.84096	0.83538	0.88133	0.92456	0.87838	0.9	0.85435	0.88049	0.88462	0.83636	0.83086	0.858	0.90959	0.85116	0.9	0.82462	0.87	0.56667	
D00898	0.72564	0.68413	0.684	0.67333	0.74459	0.68511	0.7	0.77051	0.69701	0.75172	0.70938	0.7825	0.72319	0.8758	0.78	0.68718	0.7881	0.74058	0.8	0.72817	0.68511	0.75476	0.6619	0.7	0.73793	0.83261	0.88462	0.79333	0.6814	0.82982	0.83871	0.82772	0.66923	1.0	0.78941	0.71231	0.76145	0.71231	0.79333	0.83333	0.85541	0.72941	0.76739	0.7561	0.81978	0.69394	0.74074	0.799	0.81918	0.78256	0.80877	0.69077	0.75571	0.52564	
D00930	0.75294	0.68824	0.59647	0.68353	0.72471	0.62471	0.62471	0.92588	0.70824	0.74828	0.68706	0.84941	0.82941	0.86051	0.71444	0.51529	0.86941	0.61059	0.57765	0.71176	0.62471	0.72118	0.69647	0.50471	0.64471	0.56	0.52353	0.68235	0.52235	0.55294	0.49176	0.75545	0.47412	0.51882	1.0	0.67529	0.72235	0.67529	0.69059	0.52235	0.55765	0.53765	0.7413	0.51647	0.71648	0.69294	0.7	0.782	0.51176	0.71395	0.49765	0.68353	0.65529	0.53176	
D00950	0.81282	0.86308	0.78	0.92615	0.94459	0.58615	0.81692	0.78077	0.8403	0.83333	0.98462	0.7775	0.74058	0.87898	0.89444	0.50769	0.79167	0.77826	0.56769	0.86761	0.58615	0.80238	0.82462	0.52615	0.86462	0.52308	0.50769	0.83467	0.49538	0.52462	0.47692	0.89109	0.49692	0.51231	0.79882	1.0	0.85542	1.0	0.96267	0.50615	0.56892	0.52	0.81848	0.50923	0.7978	0.87121	0.81605	0.853	0.54795	0.89186	0.50615	0.95692	0.85714	0.55077	
D00951	0.70241	0.72651	0.65181	0.73253	0.79157	0.58795	0.66386	0.71084	0.73012	0.72989	0.75301	0.69157	0.69639	0.86369	0.77444	0.50964	0.69048	0.65783	0.56506	0.76988	0.58795	0.72976	0.74578	0.5241	0.69277	0.55542	0.49277	0.70602	0.5253	0.53976	0.48554	0.85743	0.46747	0.49639	0.73412	0.74096	1.0	0.74096	0.76506	0.5253	0.56145	0.5494	0.74674	0.51084	0.72967	0.73976	0.74699	0.759	0.51446	0.77674	0.51687	0.71566	0.71205	0.53494	
D00954	0.81282	0.86308	0.78	0.92615	0.94459	0.58615	0.81692	0.78077	0.8403	0.83333	0.98462	0.7775	0.74058	0.87898	0.89444	0.50769	0.79167	0.77826	0.56769	0.86761	0.58615	0.80238	0.82462	0.52615	0.86462	0.52308	0.50769	0.83467	0.49538	0.52462	0.47692	0.89109	0.49692	0.51231	0.79882	1.0	0.85542	1.0	0.96267	0.50615	0.56892	0.52	0.81848	0.50923	0.7978	0.87121	0.81605	0.853	0.54795	0.89186	0.50615	0.95692	0.85714	0.55077	
D00956	0.72692	0.78	0.744	0.87067	0.88933	0.57067	0.776	0.71795	0.756	0.76897	0.90267	0.71375	0.69067	0.87197	0.83556	0.54933	0.72262	0.656	0.58267	0.81867	0.57067	0.74762	0.77333	0.584	0.79867	0.58133	0.55867	0.77733	0.492	0.60133	0.532	0.88416	0.52133	0.55333	0.74941	0.88933	0.81325	0.88933	1.0	0.548	0.588	0.54667	0.76087	0.532	0.81319	0.78533	0.74815	0.807	0.536	0.8093	0.52	0.852	0.80133	0.54933	
D00961	0.6141	0.54603	0.50877	0.49333	0.63649	0.55088	0.50175	0.65897	0.55672	0.68391	0.5625	0.6475	0.58696	0.82484	0.70667	0.64561	0.65952	0.60435	0.65263	0.63521	0.55088	0.67619	0.54603	0.64211	0.53966	0.77368	0.68246	0.68667	0.69298	0.66491	0.6871	0.75545	0.60877	0.67544	0.68706	0.56769	0.68193	0.56769	0.668	1.0	0.77568	0.71579	0.70326	0.68421	0.72418	0.57273	0.64198	0.754	0.7863	0.70581	0.6807	0.55692	0.62143	0.4614	
D00962	0.54359	0.53919	0.50676	0.51486	0.5527	0.56081	0.50135	0.58846	0.53378	0.61264	0.50946	0.57875	0.55	0.80764	0.62222	0.60541	0.59405	0.52162	0.62973	0.5473	0.57027	0.61905	0.52973	0.6	0.50541	0.70405	0.62162	0.61333	0.57568	0.72973	0.64189	0.71485	0.52838	0.61892	0.62235	0.50811	0.61566	0.50811	0.59467	0.66081	1.0	0.59324	0.64348	0.56892	0.66374	0.53514	0.59136	0.685	0.7027	0.63372	0.60135	0.51757	0.56757	0.52027	
D00965	0.68718	0.60317	0.54902	0.6	0.69459	0.59608	0.57963	0.72308	0.61045	0.73333	0.62969	0.71	0.65942	0.85669	0.74667	0.60588	0.71071	0.64638	0.60769	0.68592	0.59608	0.71905	0.61429	0.68039	0.61379	0.69412	0.61961	0.73467	0.90588	0.64211	0.66613	0.78416	0.60588	0.61176	0.73765	0.62	0.74217	0.62	0.70667	0.76842	0.74865	1.0	0.74239	0.60784	0.77912	0.61667	0.67778	0.783	0.73973	0.7314	0.60877	0.62308	0.69286	0.5098	
D01115	0.71848	0.69674	0.61087	0.64674	0.69891	0.57717	0.62935	0.68696	0.72283	0.73913	0.65761	0.7087	0.66739	0.86943	0.73587	0.51413	0.73478	0.61196	0.55652	0.71087	0.57717	0.89457	0.68804	0.50435	0.64783	0.53261	0.4837	0.66087	0.51304	0.56196	0.47717	0.77624	0.46848	0.47935	0.70326	0.67174	0.70435	0.67174	0.66848	0.51304	0.55109	0.51957	1.0	0.53043	0.68043	0.7087	0.76848	0.759	0.5337	0.74565	0.52065	0.70217	0.61957	0.52174	
D01132	0.74615	0.71429	0.646	0.665	0.73784	0.64468	0.66481	0.7641	0.72537	0.77816	0.69062	0.75875	0.72609	0.86815	0.76667	0.70732	0.76548	0.71304	0.76346	0.73099	0.64468	0.79048	0.69841	0.63415	0.6931	0.78696	0.74146	0.75867	0.66977	0.7614	0.80806	0.81584	0.62195	0.73171	0.77529	0.69385	0.76386	0.69385	0.75867	0.82456	0.79189	0.70588	0.81087	1.0	0.7989	0.72273	0.77284	0.829	0.81233	0.79302	0.81228	0.69385	0.73857	0.53659	
D01161	0.67582	0.63077	0.61429	0.63407	0.68022	0.55604	0.63297	0.66044	0.63407	0.68132	0.66044	0.66593	0.65495	0.81975	0.66264	0.53846	0.66154	0.5967	0.55824	0.65275	0.55604	0.65934	0.63846	0.53626	0.65165	0.55714	0.53077	0.66374	0.52198	0.55055	0.50879	0.7198	0.5	0.53407	0.68352	0.64945	0.68571	0.64945	0.72527	0.53736	0.57033	0.55934	0.675	0.52418	1.0	0.62747	0.67033	0.711	0.54286	0.65165	0.50659	0.64945	0.63846	0.51538	
D01217	0.92179	0.97273	0.71061	0.85455	0.86081	0.58333	0.73636	0.79615	0.94627	0.85862	0.84848	0.79875	0.74203	0.87707	0.87222	0.51667	0.82857	0.7087	0.58333	0.89859	0.58333	0.84524	0.88182	0.50303	0.74091	0.52121	0.48485	0.848	0.50455	0.53333	0.46515	0.89208	0.49545	0.48939	0.80471	0.86364	0.84819	0.86364	0.852	0.50455	0.58919	0.50303	0.85	0.52576	0.76484	1.0	0.89506	0.91	0.57808	0.93372	0.50455	0.82121	0.77857	0.54848	
D01294	0.7963	0.78889	0.67037	0.70123	0.72716	0.58395	0.65679	0.71852	0.82716	0.84023	0.70494	0.75062	0.72963	0.86433	0.76444	0.5037	0.7631	0.68395	0.54938	0.74815	0.58395	0.82143	0.74938	0.50123	0.68642	0.52469	0.47778	0.68765	0.49383	0.53457	0.48765	0.8099	0.46049	0.48148	0.72353	0.71728	0.76506	0.71728	0.71728	0.49383	0.54815	0.4963	0.82826	0.51975	0.73077	0.80247	1.0	0.813	0.52593	0.79651	0.50247	0.71728	0.68889	0.54691	
D01387	0.777	0.736	0.577	0.672	0.704	0.57	0.594	0.693	0.718	0.754	0.682	0.712	0.688	0.81401	0.761	0.505	0.729	0.609	0.572	0.784	0.57	0.708	0.715	0.496	0.611	0.543	0.498	0.71	0.525	0.544	0.485	0.75644	0.463	0.494	0.707	0.692	0.674	0.692	0.685	0.539	0.555	0.538	0.724	0.534	0.666	0.74	0.718	1.0	0.53	0.818	0.504	0.678	0.627	0.494	
D01441	0.5359	0.53425	0.53288	0.48082	0.51622	0.50822	0.5274	0.55385	0.51918	0.60575	0.49452	0.55375	0.51644	0.77707	0.6	0.5726	0.57024	0.53288	0.59726	0.52329	0.50822	0.6119	0.50548	0.56986	0.5411	0.66301	0.59178	0.568	0.58082	0.66438	0.65068	0.68119	0.55342	0.5863	0.58235	0.49315	0.5747	0.49315	0.54933	0.67671	0.7027	0.58904	0.63696	0.59315	0.64176	0.53014	0.57531	0.665	1.0	0.6186	0.60959	0.48356	0.5726	0.45753	
D01689	0.78953	0.82674	0.63721	0.73953	0.78605	0.58953	0.64884	0.71628	0.80581	0.7977	0.7593	0.71395	0.69419	0.84331	0.85556	0.53023	0.72558	0.64302	0.59186	0.83256	0.58953	0.76163	0.7686	0.51512	0.67674	0.55	0.50581	0.80116	0.52907	0.55233	0.47442	0.8901	0.47326	0.5093	0.70814	0.77558	0.76163	0.77558	0.76279	0.53721	0.56512	0.52791	0.7837	0.5314	0.67912	0.82326	0.77326	0.888	0.54302	1.0	0.50465	0.74302	0.67907	0.5	
